0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length,support,resistance
72,2019.04.17,00:00,1.30446,1.30674,1.30287,1.30359,100796,0,1,0,0,0,0,,3.0,5.0,0,0
73,2019.04.18,00:00,1.30362,1.30525,1.2979,1.2983,124186,0,1,0,0,0,0,2.0,4.0,5.0,0,0
74,2019.04.19,00:00,1.29832,1.30089,1.29794,1.29824,158216,0,1,0,0,0,0,2.0,1.0,5.0,0,0
75,2019.04.22,00:00,1.29859,1.29991,1.29753,1.29814,51328,0,1,0,0,0,0,-4.0,3.0,4.0,0,0
76,2019.04.23,00:00,1.29777,1.30193,1.2928,1.29368,103743,0,1,0,0,0,0,5.0,3.0,5.0,0,0
77,2019.04.24,00:00,1.29364,1.29635,1.28877,1.29012,113670,0,1,0,0,0,0,0.0,4.0,5.0,0,0
78,2019.04.25,00:00,1.28984,1.29165,1.28657,1.28969,112015,0,1,0,0,0,0,,4.0,2.0,0,0
79,2019.04.26,00:00,1.28969,1.29434,1.28729,1.29139,111383,1,0,0,0,0,0,,3.0,4.0,1,0
80,2019.04.29,00:00,1.29078,1.29469,1.2905,1.29318,85018,1,0,0,0,0,0,-2.0,4.0,5.0,0,0
81,2019.04.30,00:00,1.29317,1.30488,1.29212,1.30285,109001,1,0,0,0,0,0,2.0,5.0,5.0,0,0
82,2019.05.01,00:00,1.30278,1.31023,1.30271,1.30478,92739,1,0,0,0,0,0,-1.0,2.0,5.0,0,0
83,2019.05.02,00:00,1.30483,1.30806,1.30182,1.30275,105551,0,1,0,0,0,0,1.0,3.0,5.0,0,1
84,2019.05.03,00:00,1.30217,1.31768,1.29875,1.31741,110586,1,0,0,0,0,0,0.0,5.0,5.0,1,0
85,2019.05.06,00:00,1.31458,1.31707,1.30813,1.30959,107116,0,1,0,0,0,0,,4.0,5.0,0,1
86,2019.05.07,00:00,1.30957,1.31313,1.30397,1.30709,109595,0,1,0,0,0,0,0.0,4.0,4.0,0,0
87,2019.05.08,00:00,1.30707,1.30803,1.2987,1.30028,121448,0,1,0,0,0,0,1.0,5.0,5.0,0,0
88,2019.05.09,00:00,1.30039,1.3036,1.29673,1.30103,116590,1,0,0,0,0,0,,4.0,3.0,1,0
89,2019.05.10,00:00,1.30103,1.30475,1.29912,1.30023,110671,0,1,0,0,0,0,,2.0,5.0,0,1
90,2019.05.13,00:00,1.29914,1.30405,1.29412,1.2955,98406,0,1,0,0,0,0,-1.0,3.0,5.0,0,0
91,2019.05.14,00:00,1.29552,1.29701,1.29032,1.29033,95143,0,1,0,0,0,0,,4.0,5.0,0,0
92,2019.05.15,00:00,1.29034,1.29231,1.28262,1.28412,102709,0,1,0,0,0,0,0.0,4.0,5.0,0,0
93,2019.05.16,00:00,1.28415,1.28517,1.27875,1.27924,89114,0,1,0,0,0,0,-1.0,5.0,5.0,0,0
94,2019.05.17,00:00,1.27919,1.27979,1.27131,1.27134,100097,0,1,0,0,0,0,1.0,5.0,5.0,0,0
95,2019.05.20,00:00,1.27301,1.27573,1.27147,1.27208,76936,0,1,0,0,0,0,-2.0,2.0,5.0,0,0
96,2019.05.21,00:00,1.27208,1.2814,1.26853,1.27047,109138,0,1,0,0,0,0,3.0,2.0,5.0,0,0
97,2019.05.22,00:00,1.27054,1.27194,1.26243,1.26521,102584,0,1,0,0,0,0,,5.0,4.0,0,0
98,2019.05.23,00:00,1.26514,1.26838,1.26051,1.26554,110985,1,0,0,0,0,0,0.0,4.0,3.0,1,0
99,2019.05.24,00:00,1.26541,1.2733,1.26474,1.27119,107958,1,0,0,0,0,0,,4.0,5.0,0,0
100,2019.05.27,00:00,1.27248,1.27478,1.2667,1.26777,92773,0,1,0,0,0,0,-1.0,4.0,5.0,0,1
101,2019.05.28,00:00,1.26743,1.27019,1.26504,1.2653,113828,0,1,0,0,0,0,2.0,3.0,5.0,0,0
102,2019.05.29,00:00,1.2653,1.26712,1.26116,1.26208,102890,0,1,0,0,0,0,,4.0,5.0,0,0
