0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork
114,2021.06.08,00:00,1.41794,1.41844,1.41207,1.41515,123726,0,1,0,0,0,0
115,2021.06.09,00:00,1.41515,1.41887,1.41099,1.4114,102788,0,1,0,0,0,0
116,2021.06.10,00:00,1.4114,1.4178,1.4073,1.41758,150057,1,0,0,0,0,0
117,2021.06.11,00:00,1.4176,1.41852,1.40956,1.4106,132011,0,1,0,0,0,0
118,2021.06.14,00:00,1.40948,1.4124,1.40702,1.41082,121391,1,0,0,0,0,0
119,2021.06.15,00:00,1.41036,1.41287,1.40341,1.40758,124219,0,1,0,0,0,0
120,2021.06.16,00:00,1.40771,1.41328,1.39822,1.39848,148442,0,1,0,0,0,0
121,2021.06.17,00:00,1.39845,1.40089,1.38956,1.39088,178259,0,1,0,0,0,0
122,2021.06.18,00:00,1.39068,1.39442,1.37915,1.37975,187221,0,1,0,0,0,0
123,2021.06.21,00:00,1.38053,1.39367,1.3786,1.39339,179278,1,0,0,0,0,0
124,2021.06.22,00:00,1.39339,1.39634,1.38602,1.39491,153807,1,0,0,0,0,0
125,2021.06.23,00:00,1.39485,1.40012,1.39238,1.39612,145908,1,0,0,0,0,0
126,2021.06.24,00:00,1.39604,1.39863,1.38892,1.3907,149875,0,1,0,0,0,0
127,2021.06.25,00:00,1.39065,1.39351,1.38712,1.38769,143196,0,1,0,0,0,0
128,2021.06.28,00:00,1.38838,1.39396,1.38707,1.38789,132449,0,1,0,0,0,0
129,2021.06.29,00:00,1.38785,1.38822,1.38139,1.38295,135146,0,1,0,0,0,0
130,2021.06.30,00:00,1.38295,1.38728,1.37983,1.38275,155718,0,1,0,0,0,0
131,2021.07.01,00:00,1.38275,1.38275,1.38275,1.38275,3,0,0,1,0,0,0
132,2021.07.01,00:00,1.38275,1.38355,1.37525,1.37603,148385,0,1,0,0,0,0
133,2021.07.02,00:00,1.37605,1.38444,1.37314,1.38288,153897,1,0,0,0,0,0
134,2021.07.05,00:00,1.38157,1.38617,1.38157,1.38359,93268,1,0,0,0,0,0
135,2021.07.06,00:00,1.38292,1.38984,1.37726,1.37955,157039,0,1,0,0,0,0
136,2021.07.07,00:00,1.3795,1.38418,1.37537,1.37955,160703,1,0,0,0,0,0
137,2021.07.08,00:00,1.37994,1.38047,1.37416,1.3781,172683,0,1,0,0,0,0
138,2021.07.09,00:00,1.37812,1.39006,1.37551,1.38989,166313,1,0,0,0,0,0
139,2021.07.12,00:00,1.38723,1.39099,1.38389,1.38797,132170,1,0,0,0,0,0
140,2021.07.13,00:00,1.38744,1.39053,1.37998,1.38074,143462,0,1,0,0,0,0
141,2021.07.14,00:00,1.38118,1.38919,1.3801,1.38559,149969,1,0,0,0,0,0
142,2021.07.15,00:00,1.38595,1.38989,1.38047,1.38202,157986,0,1,0,0,0,0
143,2021.07.16,00:00,1.38203,1.38619,1.37606,1.37614,138442,0,1,0,0,0,0
144,2021.07.19,00:00,1.37625,1.37711,1.36545,1.36699,186277,0,1,0,0,0,0
145,2021.07.20,00:00,1.36729,1.36893,1.35716,1.36194,163912,0,1,0,0,0,0
146,2021.07.21,00:00,1.36194,1.37231,1.35909,1.37065,145337,1,0,0,0,0,0
147,2021.07.22,00:00,1.37065,1.3787,1.36904,1.37667,136984,1,0,0,0,0,0
148,2021.07.23,00:00,1.37669,1.37798,1.37197,1.37475,123739,0,1,0,0,0,0
149,2021.07.26,00:00,1.37422,1.38335,1.37367,1.3818,133526,1,0,0,0,0,0
150,2021.07.27,00:00,1.38171,1.38941,1.37667,1.38741,127420,1,0,0,0,0,0
151,2021.07.28,00:00,1.38748,1.3911,1.38428,1.38968,123918,1,0,0,0,0,0
152,2021.07.29,00:00,1.38956,1.39819,1.38844,1.39514,91959,1,0,0,0,0,0
153,2021.07.30,00:00,1.39521,1.39832,1.38879,1.39039,99256,0,1,0,0,0,0
154,2021.08.02,00:00,1.38803,1.39324,1.38755,1.3882,94536,1,0,0,0,0,0
155,2021.08.03,00:00,1.38732,1.39386,1.38732,1.39133,95900,1,0,0,0,0,0
156,2021.08.04,00:00,1.39035,1.39578,1.38852,1.38874,98435,0,1,0,0,0,0
157,2021.08.05,00:00,1.3887,1.3949,1.3872,1.39227,99451,1,0,0,0,0,0
158,2021.08.06,00:00,1.39248,1.39328,1.38609,1.38728,84762,0,1,0,0,0,0
159,2021.08.09,00:00,1.3867,1.38944,1.38407,1.38462,92522,0,1,0,0,0,0
160,2021.08.10,00:00,1.38455,1.38723,1.38273,1.38294,74397,0,1,0,0,0,0
161,2021.08.11,00:00,1.38294,1.38876,1.38024,1.38606,82519,1,0,0,0,0,0
162,2021.08.12,00:00,1.38599,1.38783,1.37947,1.37975,72225,0,1,0,0,0,0
163,2021.08.13,00:00,1.37963,1.3875,1.37905,1.38687,64013,1,0,0,0,0,0
164,2021.08.16,00:00,1.38551,1.38786,1.38277,1.38387,72708,0,1,0,0,0,0
165,2021.08.17,00:00,1.38388,1.38449,1.37261,1.373,95363,0,1,0,0,0,0
166,2021.08.18,00:00,1.37297,1.37861,1.3721,1.37492,81860,1,0,0,0,0,0
167,2021.08.19,00:00,1.37493,1.37581,1.363,1.363,109008,0,1,0,0,0,0
168,2021.08.20,00:00,1.36336,1.36412,1.3602,1.36245,86780,0,1,0,0,0,0
169,2021.08.23,00:00,1.36154,1.3732,1.36082,1.3711,84790,1,0,0,0,0,0
170,2021.08.24,00:00,1.36999,1.37474,1.36935,1.37259,72848,1,0,0,0,0,0
171,2021.08.25,00:00,1.3725,1.37668,1.36964,1.37619,79430,1,0,0,0,0,0
172,2021.08.26,00:00,1.37605,1.37675,1.36892,1.36952,94710,0,1,0,0,0,0
173,2021.08.27,00:00,1.36953,1.37807,1.36797,1.37577,115048,1,0,0,0,0,0
174,2021.08.30,00:00,1.37498,1.3775,1.37339,1.3759,68559,1,0,0,0,0,0
175,2021.08.31,00:00,1.37507,1.38078,1.37428,1.37534,106213,1,0,0,0,0,0
176,2021.09.01,00:00,1.37533,1.37533,1.37481,1.37481,3,0,1,0,0,0,0
177,2021.09.01,00:00,1.37494,1.37983,1.37308,1.37661,98411,1,0,0,0,0,0
178,2021.09.02,00:00,1.37672,1.38398,1.37671,1.38328,87234,1,0,0,0,0,0
179,2021.09.03,00:00,1.38328,1.38917,1.38177,1.3857,100107,1,0,0,0,0,0
180,2021.09.06,00:00,1.38478,1.38679,1.38183,1.38294,66915,0,1,0,0,0,0
181,2021.09.07,00:00,1.38291,1.38566,1.37677,1.37814,107587,0,1,0,0,0,0
