0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork
691,2020.06.15,12:00,1.25417,1.25609,1.2505,1.25339,36306,0,1,0,0,1,0
692,2020.06.15,16:00,1.25339,1.25794,1.25298,1.25638,46663,1,0,0,0,1,1
693,2020.06.15,20:00,1.25638,1.26065,1.25562,1.26042,29428,1,0,0,0,0,1
694,2020.06.16,00:00,1.26042,1.26472,1.2589,1.26306,14485,1,0,0,0,0,0
695,2020.06.16,04:00,1.26306,1.26739,1.26205,1.26619,23644,1,0,0,1,0,0
696,2020.06.16,08:00,1.2662,1.26874,1.26085,1.26439,37015,0,1,0,1,0,0
697,2020.06.16,12:00,1.26441,1.26814,1.26346,1.26674,35476,1,0,0,0,1,0
698,2020.06.16,16:00,1.26681,1.26681,1.25527,1.25927,60643,0,1,0,0,1,1
699,2020.06.16,20:00,1.25926,1.25937,1.25609,1.2571,23800,0,1,0,0,0,1
700,2020.06.17,00:00,1.25647,1.25868,1.25519,1.25645,12897,0,1,0,0,0,0
701,2020.06.17,04:00,1.25647,1.25699,1.25412,1.25586,21691,0,1,0,1,0,0
702,2020.06.17,08:00,1.25584,1.25886,1.25484,1.25577,33742,0,1,0,1,0,0
703,2020.06.17,12:00,1.25577,1.2583,1.25235,1.2548,37863,0,1,0,0,1,0
704,2020.06.17,16:00,1.25481,1.25599,1.25109,1.25413,43771,0,1,0,0,1,1
705,2020.06.17,20:00,1.25413,1.25576,1.25363,1.25364,20062,0,1,0,0,0,1
706,2020.06.18,00:00,1.2538,1.25667,1.25253,1.25484,12038,1,0,0,0,0,0
707,2020.06.18,04:00,1.25484,1.25606,1.25252,1.2552,23557,1,0,0,1,0,0
708,2020.06.18,08:00,1.25517,1.25604,1.25095,1.25156,31679,0,1,0,1,0,0
709,2020.06.18,12:00,1.25158,1.25491,1.2443,1.24471,44426,0,1,0,0,1,0
710,2020.06.18,16:00,1.24473,1.24597,1.24016,1.24111,41765,0,1,0,0,1,1
711,2020.06.18,20:00,1.24112,1.243,1.24048,1.24057,19389,0,1,0,0,0,1
712,2020.06.19,00:00,1.24172,1.24318,1.24047,1.24133,9884,0,1,0,0,0,0
713,2020.06.19,04:00,1.2413,1.24368,1.24074,1.2427,16719,1,0,0,1,0,0
714,2020.06.19,08:00,1.24269,1.24561,1.2407,1.24128,24263,0,1,0,1,0,0
715,2020.06.19,12:00,1.24129,1.24233,1.23604,1.24044,32280,0,1,0,0,1,0
716,2020.06.19,16:00,1.24043,1.24111,1.23484,1.23675,42978,0,1,0,0,1,1
717,2020.06.19,20:00,1.23676,1.23686,1.23439,1.23508,22901,0,1,0,0,0,1
718,2020.06.22,00:00,1.23408,1.23596,1.23353,1.23473,12106,1,0,0,0,0,0
719,2020.06.22,04:00,1.23472,1.239,1.23472,1.23891,17589,1,0,0,1,0,0
720,2020.06.22,08:00,1.2389,1.24339,1.23652,1.24267,28346,1,0,0,1,0,0
721,2020.06.22,12:00,1.24267,1.2434,1.23798,1.24053,24237,0,1,0,0,1,0
722,2020.06.22,16:00,1.24054,1.24702,1.23919,1.24641,32200,1,0,0,0,1,1
723,2020.06.22,20:00,1.24642,1.24768,1.24578,1.24682,13776,1,0,0,0,0,1
724,2020.06.23,00:00,1.24564,1.25071,1.24564,1.24821,11969,1,0,0,0,0,0
725,2020.06.23,04:00,1.24821,1.24955,1.24361,1.24661,36921,0,1,0,1,0,0
726,2020.06.23,08:00,1.24661,1.25132,1.24414,1.24837,32033,1,0,0,1,0,0
727,2020.06.23,12:00,1.24837,1.25015,1.2432,1.24971,30447,1,0,0,0,1,0
728,2020.06.23,16:00,1.24969,1.25315,1.24734,1.25155,35876,1,0,0,0,1,1
729,2020.06.23,20:00,1.25157,1.25319,1.25085,1.25086,14960,0,1,0,0,0,1
730,2020.06.24,00:00,1.25085,1.25427,1.25085,1.25294,10891,1,0,0,0,0,0
731,2020.06.24,04:00,1.25294,1.25383,1.2511,1.25134,19050,0,1,0,1,0,0
732,2020.06.24,08:00,1.25135,1.25269,1.24656,1.24998,28180,0,1,0,1,0,0
733,2020.06.24,12:00,1.25001,1.25376,1.24769,1.24947,35838,0,1,0,0,1,0
734,2020.06.24,16:00,1.24948,1.251,1.24161,1.24474,45583,0,1,0,0,1,1
735,2020.06.24,20:00,1.24473,1.24498,1.24144,1.24183,22684,0,1,0,0,0,1
736,2020.06.25,00:00,1.24183,1.24294,1.24078,1.24249,10800,1,0,0,0,0,0
737,2020.06.25,04:00,1.2425,1.24334,1.24039,1.24142,18426,0,1,0,1,0,0
738,2020.06.25,08:00,1.24143,1.24644,1.24052,1.24438,30574,1,0,0,1,0,0
739,2020.06.25,12:00,1.24434,1.24563,1.24126,1.24217,33092,0,1,0,0,1,0
740,2020.06.25,16:00,1.24219,1.24336,1.23888,1.24202,34216,0,1,0,0,1,1
741,2020.06.25,20:00,1.24201,1.24303,1.24009,1.24191,33466,0,1,0,0,0,1
