0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length,support,resistance
23696,2020.12.14,05:45,1.2132,1.21337,1.2132,1.21324,333,1,0,0,1,0,0,2.0,2.0,5.0,1,0
23697,2020.12.14,06:00,1.21324,1.21336,1.21308,1.21315,307,0,1,0,1,0,0,,3.0,4.0,0,1
23698,2020.12.14,06:15,1.21315,1.21322,1.21303,1.21312,268,0,1,0,1,0,0,-1.0,4.0,3.0,0,0
23699,2020.12.14,06:30,1.21313,1.21327,1.21308,1.2132,366,1,0,0,1,0,0,2.0,4.0,4.0,1,0
23700,2020.12.14,06:45,1.21319,1.21332,1.21313,1.21331,252,1,0,0,1,0,0,-2.0,5.0,4.0,0,0
23701,2020.12.14,07:00,1.2133,1.21332,1.2131,1.21322,347,0,1,0,1,0,0,2.0,5.0,3.0,0,1
23702,2020.12.14,07:15,1.21322,1.21332,1.2132,1.21329,242,1,0,0,1,0,0,-2.0,4.0,5.0,1,0
23703,2020.12.14,07:30,1.21329,1.21383,1.21326,1.21375,492,1,0,0,1,0,0,5.0,5.0,5.0,0,0
23704,2020.12.14,07:45,1.21375,1.21416,1.21375,1.21405,617,1,0,0,1,0,0,2.0,4.0,5.0,0,0
23705,2020.12.14,08:00,1.21405,1.21434,1.2139,1.214,645,0,1,0,1,0,0,0.0,2.0,4.0,0,1
23706,2020.12.14,08:15,1.21401,1.21437,1.214,1.21419,488,1,0,0,1,0,0,-2.0,3.0,5.0,1,0
23707,2020.12.14,08:30,1.21418,1.21432,1.21403,1.21403,415,0,1,0,1,0,0,-1.0,3.0,5.0,0,1
23708,2020.12.14,08:45,1.21404,1.2144,1.21393,1.21434,597,1,0,0,1,0,0,3.0,5.0,4.0,1,0
23709,2020.12.14,09:00,1.21433,1.21434,1.21384,1.21405,698,0,1,0,1,0,0,1.0,5.0,3.0,0,1
23710,2020.12.14,09:15,1.21405,1.21484,1.21405,1.21466,843,1,0,0,1,0,0,2.0,4.0,5.0,1,0
23711,2020.12.14,09:30,1.21467,1.21527,1.21452,1.21526,979,1,0,0,1,0,0,1.0,5.0,5.0,0,0
23712,2020.12.14,09:45,1.21525,1.21553,1.2149,1.21524,1393,0,1,0,1,0,0,3.0,3.0,3.0,0,1
23713,2020.12.14,10:00,1.21521,1.21565,1.21437,1.21539,1890,1,0,0,1,1,0,2.0,4.0,2.0,1,0
23714,2020.12.14,10:15,1.2154,1.21549,1.21471,1.21519,1301,0,1,0,1,1,0,-2.0,5.0,2.0,0,1
23715,2020.12.14,10:30,1.21518,1.21534,1.21445,1.21467,1211,0,1,0,1,1,0,,5.0,4.0,0,0
23716,2020.12.14,10:45,1.21467,1.21472,1.21426,1.21436,1362,0,1,0,1,1,0,1.0,5.0,4.0,0,0
23717,2020.12.14,11:00,1.21437,1.21457,1.21386,1.21415,1161,0,1,0,0,1,0,-1.0,4.0,3.0,0,0
23718,2020.12.14,11:15,1.21416,1.21525,1.2141,1.21521,1007,1,0,0,0,1,0,-1.0,5.0,5.0,1,0
23719,2020.12.14,11:30,1.2152,1.21603,1.21511,1.21593,1270,1,0,0,0,1,0,2.0,5.0,5.0,0,0
23720,2020.12.14,11:45,1.21594,1.21594,1.21521,1.21574,967,0,1,0,0,1,0,-2.0,5.0,2.0,0,1
23721,2020.12.14,12:00,1.21576,1.21598,1.21525,1.21597,1231,1,0,0,0,1,0,2.0,5.0,2.0,1,0
23722,2020.12.14,12:15,1.21596,1.21597,1.2152,1.21538,1012,0,1,0,0,1,0,-1.0,5.0,4.0,0,1
23723,2020.12.14,12:30,1.21537,1.21566,1.21491,1.21501,1216,0,1,0,0,1,0,2.0,4.0,5.0,0,0
23724,2020.12.14,12:45,1.21501,1.21523,1.21477,1.21505,691,1,0,0,0,1,0,-3.0,4.0,3.0,1,0
