0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length
133,2019.07.09,00:00,136.08,136.28,135.394,135.625,145899,0,1,0,0,0,0,0.0,4.0,4.0
134,2019.07.10,00:00,135.625,136.055,135.488,135.611,173144,0,1,0,0,0,0,1.0,2.0,4.0
135,2019.07.11,00:00,135.611,136.054,135.08,135.861,157902,1,0,0,0,0,0,,5.0,3.0
136,2019.07.12,00:00,135.853,136.024,135.503,135.703,153016,0,1,0,0,0,0,,4.0,4.0
137,2019.07.15,00:00,135.219,135.847,134.952,135.055,127868,0,1,0,0,0,0,-1.0,2.0,5.0
138,2019.07.16,00:00,135.059,135.261,133.966,134.284,160415,0,1,0,0,0,0,2.0,5.0,4.0
139,2019.07.17,00:00,134.284,134.623,133.972,134.198,144824,0,1,0,0,0,0,,3.0,4.0
140,2019.07.18,00:00,134.198,134.83,133.851,134.593,175655,1,0,0,0,0,0,2.0,4.0,4.0
141,2019.07.19,00:00,134.594,135.007,134.55,134.61,160580,1,0,0,0,0,0,,1.0,5.0
142,2019.07.22,00:00,134.424,135.089,134.411,134.543,139930,1,0,0,0,0,0,-1.0,1.0,5.0
143,2019.07.23,00:00,134.568,134.985,134.314,134.581,155630,1,0,0,0,0,0,1.0,2.0,4.0
144,2019.07.24,00:00,134.581,135.279,134.246,135.044,139385,1,0,0,0,0,0,-1.0,4.0,4.0
145,2019.07.25,00:00,135.043,135.668,134.712,135.238,162438,1,0,0,0,0,0,1.0,3.0,4.0
146,2019.07.26,00:00,135.216,135.392,134.541,134.565,130264,0,1,0,0,0,0,-1.0,4.0,5.0
147,2019.07.29,00:00,134.421,134.579,132.851,132.894,123525,0,1,0,0,0,0,,5.0,5.0
148,2019.07.30,00:00,132.894,133.071,131.61,131.91,184415,0,1,0,0,0,0,3.0,5.0,4.0
149,2019.07.31,00:00,131.919,132.994,131.848,132.117,201715,1,0,0,0,0,0,0.0,2.0,5.0
150,2019.08.01,00:00,132.128,132.555,130.03,130.049,244635,0,1,0,0,0,0,2.0,5.0,5.0
151,2019.08.02,00:00,129.986,130.418,129.079,129.614,291149,0,1,0,0,0,0,1.0,4.0,4.0
152,2019.08.05,00:00,129.345,129.606,128.172,128.622,292577,0,1,0,0,0,0,0.0,5.0,4.0
153,2019.08.06,00:00,128.609,130.066,128.11,129.496,288268,1,0,0,0,0,0,,4.0,4.0
154,2019.08.07,00:00,129.534,129.559,128.22,129.029,287385,0,1,0,0,0,0,,5.0,2.0
155,2019.08.08,00:00,129.025,129.332,128.276,128.672,220592,0,1,0,0,0,0,-2.0,4.0,4.0
156,2019.08.09,00:00,128.67,128.747,126.968,127.082,192622,0,1,0,0,0,0,-1.0,5.0,5.0
157,2019.08.12,00:00,127.12,127.519,126.546,127.117,215139,0,1,0,0,0,0,1.0,3.0,3.0
158,2019.08.13,00:00,127.117,129.225,126.803,128.72,254492,1,0,0,0,0,0,1.0,4.0,5.0
159,2019.08.14,00:00,128.716,128.753,127.494,127.688,271095,0,1,0,0,0,0,0.0,5.0,5.0
160,2019.08.15,00:00,127.688,128.983,127.474,128.17,293045,1,0,0,0,0,0,0.0,3.0,5.0
161,2019.08.16,00:00,128.158,129.575,128.096,129.152,235754,1,0,0,0,0,0,-1.0,4.0,5.0
162,2019.08.19,00:00,129.078,129.539,128.972,129.3,177323,1,0,0,0,0,0,-2.0,3.0,5.0
163,2019.08.20,00:00,129.301,129.638,128.265,129.249,198771,0,1,0,0,0,0,1.0,4.0,2.0
164,2019.08.21,00:00,129.249,129.671,128.885,129.238,171950,0,1,0,0,0,0,-1.0,3.0,3.0
165,2019.08.22,00:00,129.238,130.698,128.757,130.41,199740,1,0,0,0,0,0,1.0,5.0,4.0
166,2019.08.23,00:00,130.395,130.558,128.991,129.458,224650,0,1,0,0,0,0,1.0,5.0,4.0
167,2019.08.26,00:00,128.786,130.142,128.191,129.637,304491,1,0,0,0,0,0,2.0,4.0,4.0
168,2019.08.27,00:00,129.561,130.386,129.004,129.913,233338,1,0,0,0,0,0,-2.0,4.0,3.0
169,2019.08.28,00:00,129.913,130.07,128.473,129.517,228561,0,1,0,0,0,0,,5.0,2.0
170,2019.08.29,00:00,129.513,130.032,128.971,129.73,216840,1,0,0,0,0,0,,4.0,3.0
171,2019.08.30,00:00,129.789,129.82,129.08,129.223,209042,0,1,0,0,0,0,,5.0,5.0
172,2019.09.02,00:00,128.832,129.316,127.871,128.081,162507,0,1,0,0,0,0,-2.0,4.0,5.0
173,2019.09.03,00:00,128.081,128.252,126.673,127.912,235103,0,1,0,0,0,0,3.0,5.0,2.0
